Clave,Proveedor,Tipo de Producto,Categoria de Productos,Precio,Nombre del material,Color,Ancho,Composición,Flamabilidad,Abrasion,Decoloración a la luz,Traspaso de color,Peeling,Aplicación,Acabado,Procedencia,Código de lavado,Repeat HV,Unidad de venta,Notas/Otros,Backing
1048/01,Pollack,Telas Contract,Telas,0.00,Patternmaker,,,,,,,,,,,,,,,,
1048/02,Pollack,Telas Contract,Telas,0.00,Playtime,,,,,,,,,,,,,,,,
1048/03,Pollack,Telas Contract,Telas,0.00,Vivienne,,,,,,,,,,,,,,,,
1049/01,Pollack,Telas Contract,Telas,0.00,Hibernation,,,,,,,,,,,,,,,,
1049/02,Pollack,Telas Contract,Telas,0.00,Anni,,,,,,,,,,,,,,,,
1049/03,Pollack,Telas Contract,Telas,0.00,Posh,,,,,,,,,,,,,,,,
1050/01,Pollack,Telas Contract,Telas,0.00,Union Square,,,,,,,,,,,,,,,,
1050/02,Pollack,Telas Contract,Telas,0.00,Flutter,,,,,,,,,,,,,,,,
1050/03,Pollack,Telas Contract,Telas,0.00,Moccasin Stripe,,,,,,,,,,,,,,,,
1050/04,Pollack,Telas Contract,Telas,0.00,Disco,,,,,,,,,,,,,,,,
1050/05,Pollack,Telas Contract,Telas,0.00,Skipping Stones,,,,,,,,,,,,,,,,
1051/01,Pollack,Telas Contract,Telas,0.00,Microcosm,,,,,,,,,,,,,,,,
1051/02,Pollack,Telas Contract,Telas,0.00,Engraving,,,,,,,,,,,,,,,,
1051/03,Pollack,Telas Contract,Telas,0.00,Amazement,,,,,,,,,,,,,,,,
1051/04,Pollack,Telas Contract,Telas,0.00,Resurface,,,,,,,,,,,,,,,,
1052/01,Pollack,Telas Contract,Telas,0.00,Bundled Up,,,,,,,,,,,,,,,,
1052/02,Pollack,Telas Contract,Telas,0.00,Gesture,,,,,,,,,,,,,,,,
1053/01,Pollack,Telas Contract,Telas,0.00,Flex,,,,,,,,,,,,,,,,
1053/02,Pollack,Telas Contract,Telas,0.00,Marbella,,,,,,,,,,,,,,,,
1054/01,Pollack,Telas Contract,Telas,0.00,Floriculture,,,,,,,,,,,,,,,,
1054/02,Pollack,Telas Contract,Telas,0.00,Ping Pong,,,,,,,,,,,,,,,,
1054/03,Pollack,Telas Contract,Telas,0.00,Latitude,,,,,,,,,,,,,,,,
1054/04,Pollack,Telas Contract,Telas,0.00,Zip It,,,,,,,,,,,,,,,,
1054/05,Pollack,Telas Contract,Telas,0.00,Bling,,,,,,,,,,,,,,,,
2211/01,Pollack,Telas Contract,Telas,0.00,Spritzer,,,,,,,,,,,,,,,,
2211/03,Pollack,Telas Contract,Telas,0.00,Kinetic,,,,,,,,,,,,,,,,
2211/05,Pollack,Telas Contract,Telas,0.00,Fine And Dandy,,,,,,,,,,,,,,,,
2279/02,Pollack,Telas Contract,Telas,0.00,Petal Pusher,,,,,,,,,,,,,,,,
2303/02,Pollack,Telas Contract,Telas,0.00,Reverb,,,,,,,,,,,,,,,,
2314/02,Pollack,Telas Contract,Telas,0.00,Knot Tonight,,,,,,,,,,,,,,,,
2314/03,Pollack,Telas Contract,Telas,0.00,Pop,,,,,,,,,,,,,,,,
2314/04,Pollack,Telas Contract,Telas,0.00,Shisha,,,,,,,,,,,,,,,,
2314/07,Pollack,Telas Contract,Telas,0.00,Marble Screen,,,,,,,,,,,,,,,,
2314/08,Pollack,Telas Contract,Telas,0.00,He Loves Me,,,,,,,,,,,,,,,,
2315/01,Pollack,Telas Contract,Telas,0.00,Drift,,,,,,,,,,,,,,,,
2315/06,Pollack,Telas Contract,Telas,0.00,Watercolor,,,,,,,,,,,,,,,,
2315/07,Pollack,Telas Contract,Telas,0.00,Jaipur,,,,,,,,,,,,,,,,
2315/10,Pollack,Telas Contract,Telas,0.00,Rise And Shine,,,,,,,,,,,,,,,,
2315/12,Pollack,Telas Contract,Telas,0.00,Plume,,,,,,,,,,,,,,,,
2315/14,Pollack,Telas Contract,Telas,0.00,Riddle,,,,,,,,,,,,,,,,
2321/01,Pollack,Telas Contract,Telas,0.00,Helsinki,,,,,,,,,,,,,,,,
2321/02,Pollack,Telas Contract,Telas,0.00,Game On,,,,,,,,,,,,,,,,
2321/03,Pollack,Telas Contract,Telas,0.00,Hot Spot,,,,,,,,,,,,,,,,
2321/04,Pollack,Telas Contract,Telas,0.00,Dream Catcher,,,,,,,,,,,,,,,,
2321/06,Pollack,Telas Contract,Telas,0.00,Color Guard,,,,,,,,,,,,,,,,
2321/07,Pollack,Telas Contract,Telas,0.00,Punctuation,,,,,,,,,,,,,,,,
2321/08,Pollack,Telas Contract,Telas,0.00,Punch Line,,,,,,,,,,,,,,,,
2321/09,Pollack,Telas Contract,Telas,0.00,Zinnia,,,,,,,,,,,,,,,,
2321/10,Pollack,Telas Contract,Telas,0.00,Choreography,,,,,,,,,,,,,,,,
2338/01,Pollack,Telas Contract,Telas,0.00,Scribe,,,,,,,,,,,,,,,,
2338/02,Pollack,Telas Contract,Telas,0.00,Vieques,,,,,,,,,,,,,,,,
2338/05,Pollack,Telas Contract,Telas,0.00,Ikebana,,,,,,,,,,,,,,,,
2338/06,Pollack,Telas Contract,Telas,0.00,Gifted,,,,,,,,,,,,,,,,
2338/08,Pollack,Telas Contract,Telas,0.00,Weave On,,,,,,,,,,,,,,,,
2357/01,Pollack,Telas Contract,Telas,0.00,Pebble Check,,,,,,,,,,,,,,,,
2357/04,Pollack,Telas Contract,Telas,0.00,Clockwork,,,,,,,,,,,,,,,,
2357/05,Pollack,Telas Contract,Telas,0.00,Splatterwear,,,,,,,,,,,,,,,,
2357/06,Pollack,Telas Contract,Telas,0.00,Vineyard,,,,,,,,,,,,,,,,
2360/01,Pollack,Telas Contract,Telas,0.00,Perforation,,,,,,,,,,,,,,,,
2360/02,Pollack,Telas Contract,Telas,0.00,Traction,,,,,,,,,,,,,,,,
2360/03,Pollack,Telas Contract,Telas,0.00,Tipping Point,,,,,,,,,,,,,,,,
2360/04,Pollack,Telas Contract,Telas,0.00,Frequency,,,,,,,,,,,,,,,,
2360/05,Pollack,Telas Contract,Telas,0.00,Geology,,,,,,,,,,,,,,,,
2372/01,Pollack,Telas Contract,Telas,0.00,Peruvian Stripe,,,,,,,,,,,,,,,,
2372/04,Pollack,Telas Contract,Telas,0.00,Peruvian Check,,,,,,,,,,,,,,,,
2372/06,Pollack,Telas Contract,Telas,0.00,Analog,,,,,,,,,,,,,,,,
2372/07,Pollack,Telas Contract,Telas,0.00,Tacana,,,,,,,,,,,,,,,,
2373/01,Pollack,Telas Contract,Telas,0.00,Mazate,,,,,,,,,,,,,,,,
2373/02,Pollack,Telas Contract,Telas,0.00,Amaya,,,,,,,,,,,,,,,,
2373/04,Pollack,Telas Contract,Telas,0.00,Itza,,,,,,,,,,,,,,,,
2373/05,Pollack,Telas Contract,Telas,0.00,Etiquette,,,,,,,,,,,,,,,,
2373/07,Pollack,Telas Contract,Telas,0.00,Modern Dance,,,,,,,,,,,,,,,,
2373/08,Pollack,Telas Contract,Telas,0.00,Riveting,,,,,,,,,,,,,,,,
2373/09,Pollack,Telas Contract,Telas,0.00,Off The Grid,,,,,,,,,,,,,,,,
2374/02,Pollack,Telas Contract,Telas,0.00,Shape Up,,,,,,,,,,,,,,,,
2375/06,Pollack,Telas Contract,Telas,0.00,Migration,,,,,,,,,,,,,,,,
2375/07,Pollack,Telas Contract,Telas,0.00,Magic Hour,,,,,,,,,,,,,,,,
2375/09,Pollack,Telas Contract,Telas,0.00,Metalsmith,,,,,,,,,,,,,,,,
2376/02,Pollack,Telas Contract,Telas,0.00,Tea Time,,,,,,,,,,,,,,,,
2376/04,Pollack,Telas Contract,Telas,0.00,Starboard,,,,,,,,,,,,,,,,
